db,type,length
ENSEMBL,contig,3185220
ENSEMBL,contig,519197
ENSEMBL,contig,95448
ENSEMBL,contig,45456
ENSEMBL,contig,11923
ENSEMBL,contig,45554
ENSEMBL,contig,80280
ENSEMBL,contig,4876
ENSEMBL,contig,345206
ENSEMBL,contig,18816
ENSEMBL,contig,52261
ENSEMBL,contig,26958
ENSEMBL,contig,27177
ENSEMBL,contig,153776
ENSEMBL,contig,17716
ENSEMBL,contig,55237
ENSEMBL,contig,29252
ENSEMBL,contig,51354
ENSEMBL,contig,38635
ENSEMBL,contig,319171
ENSEMBL,contig,208013
ENSEMBL,contig,172316
ENSEMBL,contig,6359
ENSEMBL,contig,137166
ENSEMBL,contig,6978
ENSEMBL,contig,278356
ENSEMBL,contig,1025167
ENSEMBL,contig,1370067
ENSEMBL,contig,1145348
ENSEMBL,contig,236174
ENSEMBL,contig,388199
ENSEMBL,contig,200900
ENSEMBL,contig,537194
ENSEMBL,contig,351835
ENSEMBL,contig,63704
ENSEMBL,contig,81115
ENSEMBL,contig,342581
ENSEMBL,contig,744077
ENSEMBL,contig,168501
ENSEMBL,contig,843048
ENSEMBL,contig,740373
ENSEMBL,contig,131704
ENSEMBL,contig,711012
ENSEMBL,contig,656644
ENSEMBL,contig,739242
ENSEMBL,contig,527698
ENSEMBL,contig,112028
ENSEMBL,contig,495456
ENSEMBL,contig,1662339
ENSEMBL,contig,174136
ENSEMBL,contig,27937
ENSEMBL,contig,1539926
ENSEMBL,contig,302961
ENSEMBL,contig,31423
ENSEMBL,contig,93224
ENSEMBL,contig,22029
ENSEMBL,contig,816534
ENSEMBL,contig,20191
ENSEMBL,contig,3532
ENSEMBL,contig,80182
ENSEMBL,contig,196504
ENSEMBL,contig,329468
ENSEMBL,contig,54379
ENSEMBL,contig,1535531
ENSEMBL,contig,13427
ENSEMBL,contig,215254
ENSEMBL,contig,36531
ENSEMBL,contig,20055
ENSEMBL,contig,17998
ENSEMBL,contig,8496
ENSEMBL,contig,6796
ENSEMBL,contig,155088
ENSEMBL,contig,212860
ENSEMBL,contig,85219
ENSEMBL,contig,55928
ENSEMBL,contig,41572
ENSEMBL,contig,2251
ENSEMBL,contig,53344
ENSEMBL,contig,5859
ENSEMBL,contig,8994
ENSEMBL,contig,953523
ENSEMBL,contig,23524
ENSEMBL,contig,46119
ENSEMBL,contig,279859
ENSEMBL,contig,2678321
ENSEMBL,contig,3296579
ENSEMBL,contig,271751
ENSEMBL,contig,5997220
ENSEMBL,contig,1194995
ENSEMBL,contig,2128542
ENSEMBL,contig,33505
ENSEMBL,contig,50524
ENSEMBL,contig,58522
ENSEMBL,contig,45615
ENSEMBL,contig,83942
ENSEMBL,contig,619683
ENSEMBL,contig,110542
ENSEMBL,contig,208264
ENSEMBL,contig,507515
ENSEMBL,contig,133138
ENSEMBL,contig,3205995
ENSEMBL,contig,6553
ENSEMBL,contig,234378
ENSEMBL,contig,52472
ENSEMBL,contig,14946
ENSEMBL,contig,1847
ENSEMBL,contig,24065
ENSEMBL,contig,185289
ENSEMBL,contig,51510
ENSEMBL,contig,407188
ENSEMBL,contig,289903
ENSEMBL,contig,21343
ENSEMBL,contig,36131
ENSEMBL,contig,64057
ENSEMBL,contig,113226
ENSEMBL,contig,127441
ENSEMBL,contig,47935
ENSEMBL,contig,118871
ENSEMBL,contig,120050
ENSEMBL,contig,44655
ENSEMBL,contig,54614
ENSEMBL,contig,48666
ENSEMBL,contig,1436299
ENSEMBL,contig,283126
ENSEMBL,contig,54894
ENSEMBL,contig,29369
ENSEMBL,contig,59638
ENSEMBL,contig,86069
ENSEMBL,contig,145909
ENSEMBL,contig,53539
ENSEMBL,contig,893816
ENSEMBL,contig,67789
ENSEMBL,contig,1820359
ENSEMBL,contig,85511
ENSEMBL,contig,140929
ENSEMBL,contig,314519
ENSEMBL,contig,104810
ENSEMBL,contig,175938
ENSEMBL,contig,44170
ENSEMBL,contig,527937
ENSEMBL,contig,684680
ENSEMBL,contig,497272
ENSEMBL,contig,28839
ENSEMBL,contig,18011
ENSEMBL,contig,220807
ENSEMBL,contig,2097
ENSEMBL,contig,3574
ENSEMBL,contig,2280172
ENSEMBL,contig,70599
ENSEMBL,contig,352147
ENSEMBL,contig,824351
ENSEMBL,contig,2408188
ENSEMBL,contig,119929
ENSEMBL,contig,64537
ENSEMBL,contig,69363
ENSEMBL,contig,466987
ENSEMBL,contig,124467
ENSEMBL,contig,79170
ENSEMBL,contig,155236
ENSEMBL,contig,391417
ENSEMBL,contig,23905
ENSEMBL,contig,5803
ENSEMBL,contig,14952
ENSEMBL,contig,1487467
ENSEMBL,contig,2063780
ENSEMBL,contig,1866061
ENSEMBL,contig,386458
